date,vehicle_category,manufacturer,registrations
2023-01-01,2W,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,42444.0
2023-01-01,2W,DAKSH INDUSTRIES,12085.0
2023-01-01,2W,DALIP SINGH & SONS,250.0
2023-01-01,2W,DAO EVTECH PRIVATE LIMITED,803.0
2023-01-01,2W,DASHMESH MECH WORKS PVT LTD,244.0
2023-01-01,2W,DASHMESH TRADERS,485.0
2023-01-01,2W,DASMESH AGRICULTURAL INDUSTRIES PVT LTD,248.0
2023-01-01,2W,DASMESH AGRICULTURE WORKS,309.0
2023-01-01,2W,DASMESH MECHANICAL WORKS PVT.LTD,1080.0
2023-01-01,2W,DAVE EXIM PVT LTD,865.0
2023-01-01,2W,DD AUTO PVT LTD,248.0
2023-01-01,2W,DE EUSI MOTORS PVT LTD.,3373.0
2023-01-01,2W,DEEP DRAWN TECHNOLOGIES,269.0
2023-01-01,2W,"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",290.0
2023-01-01,2W,DELTA AUTOCORP LTD,5178.0
2023-01-01,2W,DELTEK ENTERPRISES PVT LTD,265.0
2023-01-01,2W,DEMAG AC 300,252.0
2023-01-01,2W,DEMAG DEMAG HC 340,291.0
2023-01-01,2W,DEMAGE MOTORS LTD,254.0
2023-01-01,2W,DEV AGRO INDUSTRIES,271.0
2023-01-01,2W,DEV ENGINEERING WORKS,310.0
2023-01-01,2W,DEVAM ELECTRIC VEHICLES PVT LTD,278.0
2023-01-01,2W,DEVANGI ENG..,563.0
2023-01-01,2W,DEVI ENGINEERING WORKS,271.0
2023-01-01,2W,DEWAN AGRICULTURE WORKS,292.0
2023-01-01,2W,DHANALAKSHMI ENGINEERING WORKS,315.0
2023-01-01,2W,DHANAVENKAT ENGG.WORKS,264.0
2023-01-01,2W,DHANLAXMI FABRICATORS,263.0
2023-01-01,2W,DHAR IN PVT LTD,320.0
2023-01-01,2W,DHAR INTERNATIONAL,331.0
2023-01-01,2W,DHARMRAJ AGRO IND.,266.0
2023-01-01,2W,DHIMAN AGRICULTURE,293.0
2023-01-01,2W,DHIMAN AGRICULTURE WORKS,280.0
2023-01-01,2W,DHIMAN AGRO INDUSTRIES,269.0
2023-01-01,2W,DHIMAN BROTHERS,276.0
2023-01-01,2W,DHRITI ENTERPRISES,271.0
2023-01-01,2W,DIAMOND E VEHICLES,1479.0
2023-01-01,2W,"DIAMOND ENGG,CTC",342.0
2023-01-01,2W,DILLI ELECTRIC AUTO PVT LTD,50480.0
2023-01-01,2W,DIVANSU AUTOMOBILES LTD,563.0
2023-01-01,2W,DIVYA ENTERPRISES,2326.0
2023-01-01,2W,DODGE MOTORS,278.0
2023-01-01,2W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),299.0
2023-01-01,2W,DOOSAN BOBCAT INDIA PVT LTD,1390.0
2023-01-01,2W,DSF INDUSTRIES PVT LTD,331.0
2023-01-01,2W,DSR EV MOBILITY PVT LTD,287.0
2023-01-01,2W,DUCATI INDIA PVT LTD,1000.0
2023-01-01,2W,DUCATI MOTOR HOLDING S.P.A,285.0
2023-01-01,2W,DUKE AUTO INDIA,2152.0
2023-01-01,2W,DULEVO INDIA PVT LTD,337.0
2023-01-01,2W,"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",315.0
2023-01-01,2W,"DURGA AGRO ENGG,BALASORE",336.0
2023-01-01,2W,DURGA AGRO WORKS,289.0
2023-01-01,2W,DURGA ENGINEERING WORKS,506.0
2023-01-01,2W,DURGA FILTERS PVT LTD,295.0
2023-01-01,2W,"DURGA&DURGA ENGG WORKS,BHMPUR",302.0
2023-01-01,2W,"DWARI ENGG WORKS,SAMBALPUR",310.0
2023-01-01,2W,DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,537.0
2023-01-01,2W,DYS IMPEX PRIVATE LIMITED,1796.0
2023-01-01,2W,E ROYCE MOTORS INDIA PVT LTD,2929.0
2023-01-01,2W,E-ASHWA AUTOMOTIVE PVT LTD,776.0
